product_title,product_id,variant_id,sku,price,product_collection,title_equals_collection,published_at,product_count_match,handle,slugified_title,handle_ok,template_suffix,product_status
Ride Or Dye - 5 Items,6.94987E+12,3.97776E+13,7.19408E+11,59.95,Ride Or Dye - 5 Items,TRUE,2022-11-11T09:17:24-08:00,TRUE,ride-or-dye-5-items,ride-or-dye-5-items,TRUE,current-collection-may2018,
Ripple Effect - 2 Items,6.99687E+12,3.98191E+13,7.19408E+11,44.95,Ripple Effect - 2 Items,TRUE,2023-01-11T16:55:21-08:00,TRUE,ripple-effect-2-items,ripple-effect-2-items,TRUE,current-collection-may2018,
Ripple Effect - 3 Items,6.99687E+12,3.98191E+13,7.19408E+11,49.95,Ripple Effect - 3 Items,TRUE,2023-01-11T16:55:40-08:00,TRUE,ripple-effect-3-items,ripple-effect-3-items,TRUE,current-collection-may2018,
Ripple Effect - 5 Items,6.99687E+12,3.98191E+13,7.19408E+11,59.95,Ripple Effect - 5 Items,TRUE,2023-01-11T16:56:15-08:00,TRUE,ripple-effect-5-items,ripple-effect-5-items,TRUE,current-collection-may2018,
Rosy Glow - 2 Items,6.97612E+12,3.97993E+13,7.19408E+11,44.95,Rosy Glow - 2 Items,TRUE,2022-12-07T14:45:08-08:00,TRUE,rosy-glow-2-items,rosy-glow-2-items,TRUE,current-collection-may2018,
Rosy Glow - 3 Items,6.97612E+12,3.97993E+13,7.19408E+11,49.95,Rosy Glow - 3 Items,TRUE,2022-12-07T14:46:03-08:00,TRUE,rosy-glow-3-items,rosy-glow-3-items,TRUE,current-collection-may2018,
Rosy Glow - 5 Items,6.97612E+12,3.97993E+13,7.19408E+11,59.95,Rosy Glow - 5 Items,TRUE,2022-12-07T14:47:04-08:00,TRUE,rosy-glow-5-items,rosy-glow-5-items,TRUE,current-collection-may2018,
Slick Moves - 2 Items,6.97595E+12,3.9799E+13,7.19408E+11,44.95,Slick Moves - 2 Items,TRUE,2022-12-07T10:54:29-08:00,TRUE,slick-moves-2-items,slick-moves-2-items,TRUE,current-collection-may2018,
Slick Moves - 3 Items,6.97595E+12,3.9799E+13,7.19408E+11,49.95,Slick Moves - 3 Items,TRUE,2022-12-07T10:56:07-08:00,TRUE,slick-moves-3-items,slick-moves-3-items,TRUE,current-collection-may2018,
Slick Moves - 5 Items,6.97595E+12,3.9799E+13,7.19408E+11,59.95,Slick Moves - 5 Items,TRUE,2022-12-07T10:56:45-08:00,TRUE,slick-moves-5-items,slick-moves-5-items,TRUE,current-collection-may2018,
