product_title,product_id,variant_id,sku,price,product_collection,title_equals_collection,published_at,product_count_match,handle,slugified_title,handle_ok,template_suffix,product_status
Into The Wind - 2 Items,Lora 1/4 Zip Jacket (Pale Mauve/ Woodrose),fabric jacket,not-for-sale,Title,,,active,TRUE,FALSE,,,,
Into The Wind - 3 Items,Andrea Sport Bra (Black/ Pale Mauve),lace bra,not-for-sale,Title,,,active,TRUE,FALSE,,,,
Into The Wind - 3 Items,Jade Legging (Black),Capri,not-for-sale,Title,,,active,TRUE,FALSE,,,,
Into The Wind - 3 Items,Lora 1/4 Zip Jacket (Pale Mauve/ Woodrose),fabric jacket,not-for-sale,Title,,,active,TRUE,FALSE,,,,
Into The Wind - 5 Items,6 Pack of After Work Out Wipes (Assorted),Equipment,,Size,1,,active,TRUE,TRUE,,,,
Into The Wind - 5 Items,Andrea Sport Bra (Black/ Pale Mauve),lace bra,not-for-sale,Title,,,active,TRUE,FALSE,,,,
Into The Wind - 5 Items,Jade Legging (Black),Capri,not-for-sale,Title,,,active,TRUE,FALSE,,,,
Into The Wind - 5 Items,Lora 1/4 Zip Jacket (Pale Mauve/ Woodrose),fabric jacket,not-for-sale,Title,,,active,TRUE,FALSE,,,,
Into The Wind - 5 Items,Waist Slimmer Belt (Black),Accessories,,OS,,1,active,TRUE,TRUE,,,,
Midnight Surfer - 2 Items,Mel Hoodie (Black),Tops,,Size,,,active,TRUE,TRUE,,,,
Midnight Surfer - 2 Items,Uma High Waist Short (Tie Dye Punk India Ink),Leggings,,Size,,,active,TRUE,TRUE,,,,
Midnight Surfer - 3 Items,Mel Hoodie (Black),Tops,,Size,,,active,TRUE,TRUE,,,,
Midnight Surfer - 3 Items,Tyler Sport Bra (Tie Dye Punk India Ink),Sports Bra,,Size,,,active,TRUE,TRUE,,,,
Midnight Surfer - 3 Items,Uma High Waist Short (Tie Dye Punk India Ink),Leggings,,Size,,,active,TRUE,TRUE,,,,
Midnight Surfer - 5 Items,6 Pack of After Work Out Wipes (Assorted),Equipment,,Size,1,,active,TRUE,TRUE,,,,
Midnight Surfer - 5 Items,Mel Hoodie (Black),Tops,,Size,,,active,TRUE,TRUE,,,,
Midnight Surfer - 5 Items,Tyler Sport Bra (Tie Dye Punk India Ink),Sports Bra,,Size,,,active,TRUE,TRUE,,,,
Midnight Surfer - 5 Items,Uma High Waist Short (Tie Dye Punk India Ink),Leggings,,Size,,,active,TRUE,TRUE,,,,
Midnight Surfer - 5 Items,Waist Slimmer Belt (Black),Accessories,,OS,,1,active,TRUE,TRUE,,,,
